dimension,value,count,percentage,target_exam_weight_percent,notes
domain,1.0 General Security Concepts,2,8.3,12,Final allocation selected to make the 150-question cumulative bank exactly match the official domain weights.
domain,"2.0 Threats, Vulnerabilities, and Mitigations",7,29.2,22,Final allocation selected to make the 150-question cumulative bank exactly match the official domain weights.
domain,3.0 Security Architecture,6,25.0,18,Final allocation selected to make the 150-question cumulative bank exactly match the official domain weights.
domain,4.0 Security Operations,5,20.8,28,Final allocation selected to make the 150-question cumulative bank exactly match the official domain weights.
domain,5.0 Security Program Management and Oversight,4,16.7,20,Final allocation selected to make the 150-question cumulative bank exactly match the official domain weights.
objective,1.2 Summarize fundamental security concepts.,1,4.2,,
objective,1.4 Explain the importance of using appropriate cryptographic solutions.,1,4.2,,
objective,2.1 Compare and contrast common threat actors and motivations.,1,4.2,,
objective,2.2 Explain common threat vectors and attack surfaces.,1,4.2,,
objective,2.3 Explain various types of vulnerabilities.,2,8.3,,
objective,"2.4 Given a scenario, analyze indicators of malicious activity.",2,8.3,,
objective,2.5 Explain the purpose of mitigation techniques used to secure the enterprise.,1,4.2,,
objective,3.1 Compare and contrast security implications of different architecture models.,2,8.3,,
objective,"3.2 Given a scenario, apply security principles to secure enterprise infrastructure.",1,4.2,,
objective,3.3 Compare and contrast concepts and strategies to protect data.,1,4.2,,
objective,3.4 Explain the importance of resilience and recovery in security architecture.,2,8.3,,
objective,"4.2 Explain the security implications of proper hardware, software, and data asset management.",1,4.2,,
objective,4.3 Explain various activities associated with vulnerability management.,1,4.2,,
objective,4.4 Explain security alerting and monitoring concepts and tools.,1,4.2,,
objective,"4.5 Given a scenario, modify enterprise capabilities to enhance security.",1,4.2,,
objective,"4.9 Given a scenario, use data sources to support an investigation.",1,4.2,,
objective,5.3 Explain the processes associated with third-party risk assessment and management.,1,4.2,,
objective,5.4 Summarize elements of effective security compliance.,1,4.2,,
objective,5.5 Explain types and purposes of audits and assessments.,1,4.2,,
objective,"5.6 Given a scenario, implement security awareness practices.",1,4.2,,
topic,Asset tagging,1,4.2,,
topic,Availability through redundancy,1,4.2,,
topic,Competitor threat actors,1,4.2,,
topic,Continuity tabletop exercises,1,4.2,,
topic,Directory traversal,1,4.2,,
topic,False-positive validation,1,4.2,,
topic,Hybrid cloud architecture,1,4.2,,
topic,Immutable security logs,1,4.2,,
topic,Information rights management,1,4.2,,
topic,Insecure deserialization,1,4.2,,
topic,IoT architecture,1,4.2,,
topic,Keyed message authentication,1,4.2,,
topic,Network access control posture,1,4.2,,
topic,On-path attack indicators,1,4.2,,
topic,Power resilience,1,4.2,,
topic,Pretexting,1,4.2,,
topic,Privacy impact assessments,1,4.2,,
topic,Privileged access workstations,1,4.2,,
topic,Purple-team exercises,1,4.2,,
topic,QR-code phishing awareness,1,4.2,,
topic,Ransomware indicators,1,4.2,,
topic,Site-to-site VPNs,1,4.2,,
topic,Vendor concentration risk,1,4.2,,
topic,Volatile memory analysis,1,4.2,,
difficulty,easy,6,25.0,,
difficulty,hard,6,25.0,,
difficulty,medium,12,50.0,,
question_type,single_choice,24,100.0,,
question_style,comparison,3,12.5,,
question_style,direct,3,12.5,,
question_style,scenario,18,75.0,,
stored_correct_answer,A,6,25.0,,
stored_correct_answer,B,6,25.0,,
stored_correct_answer,C,6,25.0,,
stored_correct_answer,D,6,25.0,,
